filename,basename,toolid,toolmode,parser_version,runid,start,duration,exit_code,findings,infos,errors,fails
/home/kaixuan/sast_study/solidity/smartbugs/samples/precision_loss/0x53FbcADa1201A465740F2d64eCdF6FAC425f9030/Implementation/lend-core/contracts/protocol/libraries/helpers/Errors.sol,Errors.sol,confuzzius,solidity,2022/12/31,20240430_0801,1714464390.003822,3620.13911151886,,,,,DOCKER_TIMEOUT
/home/kaixuan/sast_study/solidity/smartbugs/samples/precision_loss/0x53FbcADa1201A465740F2d64eCdF6FAC425f9030/Implementation/lend-core/contracts/protocol/libraries/helpers/Helpers.sol,Helpers.sol,confuzzius,solidity,2022/12/31,20240430_0801,1714464699.7688947,16.489318370819092,255,,,"EXIT_CODE_255,No compiler output for: /sb/Helpers.sol",
/home/kaixuan/sast_study/solidity/smartbugs/samples/precision_loss/0x53FbcADa1201A465740F2d64eCdF6FAC425f9030/Implementation/lend-core/contracts/protocol/libraries/hopelend-upgradeability/VersionedInitializable.sol,VersionedInitializable.sol,confuzzius,solidity,2022/12/31,20240430_0801,1714466239.106734,17.1280255317688,0,,,,
/home/kaixuan/sast_study/solidity/smartbugs/samples/precision_loss/0x53FbcADa1201A465740F2d64eCdF6FAC425f9030/Implementation/lend-core/contracts/protocol/libraries/logic/BorrowLogic.sol,BorrowLogic.sol,confuzzius,solidity,2022/12/31,20240430_0801,1714468045.5800223,15.287073373794556,255,,,"EXIT_CODE_255,No compiler output for: /sb/BorrowLogic.sol",
/home/kaixuan/sast_study/solidity/smartbugs/samples/precision_loss/0x53FbcADa1201A465740F2d64eCdF6FAC425f9030/Implementation/lend-core/contracts/protocol/libraries/logic/BridgeLogic.sol,BridgeLogic.sol,confuzzius,solidity,2022/12/31,20240430_0801,1714465281.061552,12.27837061882019,255,,,"EXIT_CODE_255,No compiler output for: /sb/BridgeLogic.sol",
/home/kaixuan/sast_study/solidity/smartbugs/samples/precision_loss/0x53FbcADa1201A465740F2d64eCdF6FAC425f9030/Implementation/lend-core/contracts/protocol/libraries/logic/EModeLogic.sol,EModeLogic.sol,confuzzius,solidity,2022/12/31,20240430_0801,1714467877.6033497,14.62913465499878,255,,,"EXIT_CODE_255,No compiler output for: /sb/EModeLogic.sol",
/home/kaixuan/sast_study/solidity/smartbugs/samples/precision_loss/0x53FbcADa1201A465740F2d64eCdF6FAC425f9030/Implementation/lend-core/contracts/protocol/libraries/logic/FlashLoanLogic.sol,FlashLoanLogic.sol,confuzzius,solidity,2022/12/31,20240430_0801,1714468083.738394,13.313116788864136,255,,,"EXIT_CODE_255,No compiler output for: /sb/FlashLoanLogic.sol",
/home/kaixuan/sast_study/solidity/smartbugs/samples/precision_loss/0x53FbcADa1201A465740F2d64eCdF6FAC425f9030/Implementation/lend-core/contracts/protocol/libraries/logic/GenericLogic.sol,GenericLogic.sol,confuzzius,solidity,2022/12/31,20240430_0801,1714464966.2325194,16.63508629798889,255,,,"EXIT_CODE_255,No compiler output for: /sb/GenericLogic.sol",
/home/kaixuan/sast_study/solidity/smartbugs/samples/precision_loss/0x53FbcADa1201A465740F2d64eCdF6FAC425f9030/Implementation/lend-core/contracts/protocol/libraries/logic/IsolationModeLogic.sol,IsolationModeLogic.sol,confuzzius,solidity,2022/12/31,20240430_0801,1714464515.3425286,14.64371633529663,255,,,"EXIT_CODE_255,No compiler output for: /sb/IsolationModeLogic.sol",
/home/kaixuan/sast_study/solidity/smartbugs/samples/precision_loss/0x53FbcADa1201A465740F2d64eCdF6FAC425f9030/Implementation/lend-core/contracts/protocol/libraries/logic/LiquidationLogic.sol,LiquidationLogic.sol,confuzzius,solidity,2022/12/31,20240430_0801,1714468033.334061,12.502709865570068,255,,,"EXIT_CODE_255,No compiler output for: /sb/LiquidationLogic.sol",
/home/kaixuan/sast_study/solidity/smartbugs/samples/precision_loss/0x53FbcADa1201A465740F2d64eCdF6FAC425f9030/Implementation/lend-core/contracts/protocol/libraries/logic/PoolLogic.sol,PoolLogic.sol,confuzzius,solidity,2022/12/31,20240430_0801,1714464461.651344,19.09502387046814,255,,,"EXIT_CODE_255,No compiler output for: /sb/PoolLogic.sol",
